region_nom_bdd,commune_nom_bdd,points,mobile_money,infrastructures,services,commune_key,pop,points_per_10k,mobile_money_per_10k,infrastructures_per_100k
Kara,Dankpen 1,124,122,2,3,DANKPEN1,76294.0,16.25291634990956,15.990772537814244,2.621438120953155
Kara,Dankpen 2,31,31,0,1,DANKPEN2,32716.0,9.475486000733586,9.475486000733586,0.0
Kara,Dankpen 3,37,37,0,1,DANKPEN3,76652.0,4.827010384595314,4.827010384595314,0.0
Kara,Doufelgou 1,116,114,2,3,DOUFELGOU1,44783.0,25.902686287207196,25.45608824777259,4.465980394346069
Kara,Doufelgou 2,30,30,0,1,DOUFELGOU2,11722.0,25.592902235113463,25.592902235113463,0.0
Kara,Doufelgou 3,40,40,0,1,DOUFELGOU3,28262.0,14.153280022645246,14.153280022645246,0.0
Kara,Kozah 1,1370,1366,4,4,KOZAH1,193625.0,70.75532601678502,70.54874112330536,2.065848934796643
Kara,Kozah 2,127,127,0,1,KOZAH2,45704.0,27.7875021879923,27.7875021879923,0.0
Kara,Kozah 3,34,34,0,1,KOZAH3,23755.0,14.312776257629974,14.312776257629974,0.0
Kara,Kozah 4,35,35,0,1,KOZAH4,20654.0,16.945870049385107,16.945870049385107,0.0
Kara,Kéran 1,95,91,4,3,KERAN1,44399.0,21.39687830807,20.495957116151267,9.009211919187369
Kara,Kéran 2,38,38,0,1,KERAN2,53305.0,7.128787168183097,7.128787168183097,0.0
Kara,Kéran 3,10,10,0,1,KERAN3,30983.0,3.2275764128715747,3.2275764128715747,0.0
Maritime,Agoè-Nyivé 1,460,446,14,4,AGOENYIVE1,317255.0,14.499377472380262,14.05809207104695,4.412854013333123
Maritime,Agoè-Nyivé 2,39,37,2,3,AGOENYIVE2,128164.0,3.042976186760713,2.886926125901189,1.5605006085952373
Maritime,Agoè-Nyivé 3,267,263,4,4,AGOENYIVE3,47554.0,56.146696387265,55.30554737771796,8.411490095470413
Maritime,Agoè-Nyivé 4,260,258,2,3,AGOENYIVE4,154431.0,16.835997953778712,16.70649027721118,1.2950767656752853
Maritime,Agoè-Nyivé 5,101,97,4,3,AGOENYIVE5,125097.0,8.073734781809316,7.753982909262413,3.197518725469036
Maritime,Agoè-Nyivé 6,299,297,2,3,AGOENYIVE6,110194.0,27.133963736682578,26.95246565148738,1.8149808519520119
Maritime,Avé 1,85,79,6,4,AVE1,75044.0,11.32668834283887,10.527157400991417,7.995309418474495
Maritime,Avé 2,49,49,0,1,AVE2,36170.0,13.547138512579485,13.547138512579485,0.0
Maritime,Bas-Mono 1,153,149,4,3,BASMONO1,55382.0,27.62630457549384,26.904048246722763,7.222563287710808
Maritime,Bas-Mono 2,34,34,0,1,BASMONO2,39478.0,8.612391711839505,8.612391711839505,0.0
Maritime,Golfe 1,1272,1256,16,4,GOLFE1,351550.0,36.18261982648272,35.72749253306784,4.55127293414877
Maritime,Golfe 2,460,454,6,4,GOLFE2,136153.0,33.78552070097611,33.34483999618077,4.406807047953405
Maritime,Golfe 3,286,281,5,5,GOLFE3,52769.0,54.198487748488695,53.25096173889973,9.475260095889633
Maritime,Golfe 4,816,809,7,5,GOLFE4,155842.0,52.36072432335314,51.911551443128296,4.491728802248431
Maritime,Golfe 5,1075,1062,13,5,GOLFE5,169993.0,63.2378980310954,62.47316065955657,7.64737371538828
Maritime,Golfe 6,486,482,4,4,GOLFE6,181561.0,26.767863142414942,26.54755151161318,2.203116308017691
Maritime,Golfe 7,781,777,4,4,GOLFE7,257813.0,30.293274582740203,30.138123368488014,1.5515121425219054
Maritime,Lacs 1,172,172,0,1,LACS1,52994.0,32.45650450994452,32.45650450994452,0.0
Maritime,Lacs 2,40,40,0,1,LACS2,42855.0,9.3338000233345,9.3338000233345,0.0
Maritime,Lacs 3,443,443,0,1,LACS3,108176.0,40.951782280727706,40.951782280727706,0.0
Maritime,Lacs 4,86,86,0,1,LACS4,37222.0,23.10461554994358,23.10461554994358,0.0
Maritime,Vo 1,211,211,0,1,VO1,88865.0,23.74388116806392,23.74388116806392,0.0
Maritime,Vo 2,52,52,0,1,VO2,24396.0,21.31496966715855,21.31496966715855,0.0
Maritime,Vo 3,100,100,0,1,VO3,64651.0,15.467664846638103,15.467664846638103,0.0
Maritime,Vo 4,113,113,0,1,VO4,46499.0,24.30159788382546,24.30159788382546,0.0
Maritime,Yoto 1,84,82,2,3,YOTO1,77353.0,10.859307331325223,10.6007523948651,2.5855493646012437
Maritime,Yoto 2,51,51,0,1,YOTO2,43412.0,11.747903805399428,11.747903805399428,0.0
Maritime,Yoto 3,27,27,0,1,YOTO3,54086.0,4.992049698628111,4.992049698628111,0.0
Maritime,Zio 1,516,508,8,4,ZIO1,307292.0,16.791846191895655,16.53150749124611,2.6033870064954505
Maritime,Zio 2,81,81,0,1,ZIO2,96193.0,8.420571143430395,8.420571143430395,0.0
Maritime,Zio 3,144,142,2,3,ZIO3,67843.0,21.22547646772696,20.930678183452976,2.9479828427398553
Maritime,Zio 4,48,48,0,1,ZIO4,28704.0,16.722408026755854,16.722408026755854,0.0
Plateaux,Agou 1,176,174,2,3,AGOU1,58328.0,30.17418735427239,29.831298861610207,3.4288849266218624
Plateaux,Agou 2,50,50,0,1,AGOU2,27465.0,18.20498816675769,18.20498816675769,0.0
Plateaux,Akébou 1,63,63,0,1,AKEBOU1,44196.0,14.254683681781156,14.254683681781156,0.0
Plateaux,Akébou 2,24,24,0,1,AKEBOU2,29634.0,8.098805426199636,8.098805426199636,0.0
Plateaux,Amou 1,43,43,0,1,AMOU1,19746.0,21.7765623417401,21.7765623417401,0.0
Plateaux,Amou 2,31,31,0,1,AMOU2,54410.0,5.697482080499908,5.697482080499908,0.0
Plateaux,Anié 1,241,237,4,4,ANIE1,100745.0,23.921782718745344,23.524740681919695,3.970420368256489
Plateaux,Anié 2,48,48,0,1,ANIE2,79413.0,6.04435042121567,6.04435042121567,0.0
Plateaux,Est-Mono 1,69,69,0,1,ESTMONO1,34652.0,19.91227057601293,19.91227057601293,0.0
Plateaux,Est-Mono 2,99,99,0,1,ESTMONO2,101866.0,9.718649991164863,9.718649991164863,0.0
Plateaux,Haho 1,189,187,2,3,HAHO1,119929.0,15.75932426685789,15.592558930700665,1.6676533615722635
Plateaux,Haho 2,54,54,0,1,HAHO2,82507.0,6.544899220672185,6.544899220672185,0.0
Plateaux,Haho 3,107,105,2,3,HAHO3,58695.0,18.229832183320557,17.88908765652952,3.407445267910384
Plateaux,Haho 4,109,107,2,3,HAHO4,43965.0,24.79244853861026,24.337541225975208,4.549073126350506
Plateaux,Kloto 1,414,410,4,4,KLOTO1,118387.0,34.97005583383311,34.63218089824051,3.3787493559259043
Plateaux,Kloto 2,57,57,0,1,KLOTO2,16166.0,35.2591859458122,35.2591859458122,0.0
Plateaux,Kloto 3,36,36,0,1,KLOTO3,11433.0,31.48779847808974,31.48779847808974,0.0
Plateaux,Kpélé 1,188,184,4,4,KPELE1,53275.0,35.28859690286251,34.5377756921633,7.508212106992023
Plateaux,Kpélé 2,71,71,0,1,KPELE2,27664.0,25.665124349334878,25.665124349334878,0.0
Plateaux,Moyen-Mono 1,41,39,2,3,MOYENMONO1,46797.0,8.761245378977284,8.333867555612539,4.273778233647456
Plateaux,Moyen-Mono 2,42,42,0,1,MOYENMONO2,43708.0,9.609224855861628,9.609224855861628,0.0
Plateaux,Ogou 1,271,271,0,1,OGOU1,116301.0,23.301605317237172,23.301605317237172,0.0
Plateaux,Ogou 2,44,44,0,1,OGOU2,56282.0,7.817774777015742,7.817774777015742,0.0
Plateaux,Ogou 3,87,85,2,3,OGOU3,51836.0,16.783702446176402,16.397870206034415,3.858322401419863
Plateaux,Ogou 4,21,21,0,1,OGOU4,29048.0,7.229413384742496,7.229413384742496,0.0
Plateaux,Wawa 1,172,172,0,1,WAWA1,51187.0,33.60228182937074,33.60228182937074,0.0
Plateaux,Wawa 2,16,16,0,1,WAWA2,20414.0,7.837758401097286,7.837758401097286,0.0
Plateaux,Wawa 3,56,56,0,1,WAWA3,29699.0,18.855853732448903,18.855853732448903,0.0
Savanes,Cinkassé 1,471,467,4,4,CINKASSE1,75992.0,61.980208442994,61.4538372460259,5.26371196968102
Savanes,Cinkassé 2,76,76,0,1,CINKASSE2,52967.0,14.348556648479242,14.348556648479242,0.0
Savanes,Kpendjal 1,36,36,0,1,KPENDJAL1,47903.0,7.5151869402751394,7.5151869402751394,0.0
Savanes,Kpendjal 2,5,5,0,1,KPENDJAL2,40462.0,1.2357273491176908,1.2357273491176908,0.0
Savanes,Kpendjal-Ouest 1,73,73,0,1,KPENDJALOUEST1,56459.0,12.929736623036186,12.929736623036186,0.0
Savanes,Kpendjal-Ouest 2,56,56,0,1,KPENDJALOUEST2,66871.0,8.37433267036533,8.37433267036533,0.0
Savanes,Oti 1,210,208,2,3,OTI1,54479.0,38.54696304998256,38.1798491161732,3.6711393380935773
Savanes,Oti 2,160,160,0,1,OTI2,70369.0,22.737284883968794,22.737284883968794,0.0
Savanes,Oti-Sud 1,122,120,2,3,OTISUD1,106052.0,11.503790593293855,11.31520386225625,1.885867310376042
Savanes,Oti-Sud 2,39,39,0,1,OTISUD2,44324.0,8.798844869596607,8.798844869596607,0.0
Savanes,Tandjoaré 1,66,66,0,1,TANDJOARE1,74692.0,8.836287688105822,8.836287688105822,0.0
Savanes,Tandjoaré 2,93,93,0,1,TANDJOARE2,64175.0,14.491624464355278,14.491624464355278,0.0
Savanes,Tône 1,950,946,4,4,TONE1,211743.0,44.865709846370365,44.676801594385644,1.8890825198471732
Savanes,Tône 2,76,76,0,1,TONE2,50179.0,15.145778114350623,15.145778114350623,0.0
Savanes,Tône 3,83,83,0,1,TONE3,60276.0,13.769991373017453,13.769991373017453,0.0
Savanes,Tône 4,175,175,0,1,TONE4,66577.0,26.28535380086216,26.28535380086216,0.0
