FID,region_nom_bdd,prefecture_nom_bdd,commune_nom_bdd,canton_nom_bdd,nom_localite,etab_nom,etab_adresse,etab_jour,etab_creation_date,activite_statut,activite_categorie,toilette_type,service,source_file,terrain,operateur,lon,lat,region_key,commune_key,nom
_mview_agences_etablissements_agences.fid--5eb27099_1a070dc3cf9_c91,Maritime,Golfe,Golfe 1,Bè-Est,Adakpame,Agence Moov Teddycom Adakpame,"Agence Moov Teddycom Adakpame, Adakpame, 21BP182","{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2019,{Utilise},Agence Moov,{WCs},Moov,moov.csv,,,1.2848016666666666,6.159930000000001,MARITIME,GOLFE1,Agence Moov Teddycom Adakpame
_mview_agences_etablissements_agences.fid--5eb27099_1a070dc3cf9_c92,Maritime,Golfe,Golfe 1,Bè-Est,Akodessewa,Agence Moov Akodessewa,"Agence Moov Akodessewa, Akodessewa","{Lundi,Mardi,Mercredi,Vendredi,jeudi,Samedi}",Nsp,{Utilise},Agence Moov,Nsp,Moov,moov.csv,,,1.2537440894895422,6.149535176503007,MARITIME,GOLFE1,Agence Moov Akodessewa
_mview_agences_etablissements_agences.fid--5eb27099_1a070dc3cf9_c93,Maritime,Golfe,Golfe 5,Aflao-Gakli,Adjidogome,Agence Moov Adidogome,"Agence Moov Adidogome, Adjidogome, BP14511 Lomé ","{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi}",2018,{Utilise},Agence Moov,"{WCs,Douches}",Moov,moov.csv,,,1.1666133333333333,6.185315000000001,MARITIME,GOLFE5,Agence Moov Adidogome
_mview_agences_etablissements_agences.fid--5eb27099_1a070dc3cf9_c94,Maritime,Golfe,Golfe 1,Bè-Est,Privilège ,Agence Moov Privilège,"Agence Moov Privilège, Privilège ","{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi}",Nsp,{Utilise},Agence Moov,Nsp,Moov,moov.csv,,,1.2407955937059894,6.152183407357222,MARITIME,GOLFE1,Agence Moov Privilège
_mview_agences_etablissements_agences.fid--5eb27099_1a070dc3cf9_c95,Maritime,Zio,Zio 1,Tsévié,Daviemondji,Moov Store Tsevie,"Moov Store Tsevie, Daviemondji","{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2020,{Utilise},Agence Moov,{WCs},Moov,moov.csv,,,1.2091516666666666,6.410936666666667,MARITIME,ZIO1,Moov Store Tsevie
_mview_agences_etablissements_agences.fid--5eb27099_1a070dc3cf9_c96,Maritime,Golfe,Golfe 2,Bè-Centre,Aeroport Lome,Agence Moov Aeroport Lome,"Agence Moov Aeroport Lome, Aeroport Lome","{Lundi,Mardi,Mercredi,jeudi,Samedi,Dimanche,Vendredi}",2017,{Utilise},Agence Moov,Nsp,Moov,moov.csv,,,1.2530180124498576,6.170390811463834,MARITIME,GOLFE2,Agence Moov Aeroport Lome
_mview_agences_etablissements_agences.fid--5eb27099_1a070dc3cf9_c97,Kara,Kozah,Kozah 1,Commune De Kara,Batassoukome,Agence Moov Kara,"Agence Moov Kara, Batassoukome","{Mardi,Lundi,Mercredi,jeudi,Vendredi,Samedi}",2007,{Utilise},Agence Moov,"{WCs,Douches}",Moov,moov.csv,,,1.1884416666666666,9.546851666666667,KARA,KOZAH1,Agence Moov Kara
_mview_agences_etablissements_agences.fid--5eb27099_1a070dc3cf9_c98,Kara,Bassar,Bassar 1,Bassar,Bassar,Agence Moov Bassar,"Agence Moov Bassar, Bassar","{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi}",Nsp,{Utilise},Agence Moov,{Latrines a eau},Moov,moov.csv,,,0.781485,9.262368333333335,KARA,BASSAR1,Agence Moov Bassar
_mview_agences_etablissements_agences.fid--5eb27099_1a070dc3cf9_c99,Maritime,Zio,Zio 1,Djagblé,Djagble Centre,Moov Store Djagble Centre,"Moov Store Djagble Centre, Djagble Centre","{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi}",2020,{Utilise},Agence Moov,{WCs},Moov,moov.csv,,,1.282715644370347,6.253717219782764,MARITIME,ZIO1,Moov Store Djagble Centre
_mview_agences_etablissements_agences.fid--5eb27099_1a070dc3cf9_c9a,Maritime,Avé,Avé 1,Assahoun,Kpetoume ,Agence Moov Kpetoume ,"Agence Moov Kpetoume , Kpetoume ","{Lundi,Mardi,jeudi,Mercredi,Vendredi,Samedi}",Nsp ,{Utilise},Agence Moov,{WCs},Moov,moov.csv,,,0.9153915164331609,6.448079479499792,MARITIME,AVE1,Agence Moov Kpetoume 
_mview_agences_etablissements_agences.fid--5eb27099_1a070dc3cf9_c9b,Plateaux,Kloto,Kloto 1,Agome-Kpalime,Atakpame Kondji,Agence Moov Atakpame Kondji,"Agence Moov Atakpame Kondji, Atakpame Kondji","{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi}",2012,{Utilise},Agence Moov,"{WCs,Douches}",Moov,moov.csv,,,0.6323238302268985,6.912437527210687,PLATEAUX,KLOTO1,Agence Moov Atakpame Kondji
_mview_agences_etablissements_agences.fid--5eb27099_1a070dc3cf9_c9c,Plateaux,Kpélé,Kpélé 1,Kpélé-Novivé,Kpele Adeta ,Moov Store de Kpele Adeta,"Moov Store de Kpele Adeta, Kpele Adeta ","{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi}",2021,{Utilise},Agence Moov,"{Latrines a eau,Douches}",Moov,moov.csv,,,0.7312633333333333,7.132038333333332,PLATEAUX,KPELE1,Moov Store de Kpele Adeta
_mview_agences_etablissements_agences.fid--5eb27099_1a070dc3cf9_c9d,Plateaux,Anié,Anié 1,Anié,Anie,Agence Moov Anie,"Agence Moov Anie, Anie","{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi}",Nsp,{Utilise},Agence Moov,"{WCs,Douches}",Moov,moov.csv,,,1.1934399999999998,7.759781666666667,PLATEAUX,ANIE1,Agence Moov Anie
_mview_agences_etablissements_agences.fid--5eb27099_1a070dc3cf9_c9e,Plateaux,Haho,Haho 1,Notsé,Tegbe,Agence Moov Notse,"Agence Moov Notse, Tegbe","{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi}",2011,{Utilise},Agence Moov,{WCs},Moov,moov.csv,,,1.1710633871826346,6.953371969046462,PLATEAUX,HAHO1,Agence Moov Notse
_mview_agences_etablissements_agences.fid--5eb27099_1a070dc3cf9_c9f,Savanes,Tône,Tône 1,Dapaong,"Dapaong, Quartier Natebagou",Franchise Moov Dapaong,"Franchise Moov Dapaong, Dapaong, Quartier Natebagou","{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi}",2011,{Utilise},Agence Moov,{WCs},Moov,moov.csv,,,0.2028833333333333,10.876091666666666,SAVANES,TONE1,Franchise Moov Dapaong
_mview_agences_etablissements_agences.fid--5eb27099_1a070dc3cf9_ca0,Savanes,Cinkassé,Cinkassé 1,Cinkassé,Cinkanssé ,Franchise Moov Cinkanssé,"Franchise Moov Cinkanssé, Cinkanssé ","{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi}",2011,{Utilise},Agence Moov,{WCs},Moov,moov.csv,,,0.020775,11.097228333333332,SAVANES,CINKASSE1,Franchise Moov Cinkanssé
_mview_agences_etablissements_agences.fid--5eb27099_1a070dc3cf9_cab,Centrale,Sotouboua,Sotouboua 1,Sotouboua,Laowe,Agence Togocom Sotouboua,"Agence Togocom Sotouboua, Laowe",Néant,Nsp,Nsp,Agence Togocom,Nsp,Togocom,Togocom.csv,,,0.985734376020098,8.561571052152336,CENTRALE,SOTOUBOUA1,Agence Togocom Sotouboua
_mview_agences_etablissements_agences.fid--5eb27099_1a070dc3cf9_cac,Maritime,Golfe,Golfe 4,Amoutivé,Assivito,Agence Togocom Assivito,"Agence Togocom Assivito, Assivito","{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi}",2022,{Utilise},Agence Togocom,Nsp,Togocom,Togocom.csv,,,1.221865,6.130468333333332,MARITIME,GOLFE4,Agence Togocom Assivito
_mview_agences_etablissements_agences.fid--5eb27099_1a070dc3cf9_cad,Centrale,Tchaoudjo,Tchaoudjo 1,Sokodè (Komah),Zongo,Boutique Togocom Tchakala,"Boutique Togocom Tchakala, Zongo, BP244 Sokodé","{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi}",2014,{Utilise},Agence Togocom,{Douches},Togocom,Togocom.csv,,,1.1404672575309502,8.98419873591971,CENTRALE,TCHAOUDJO1,Boutique Togocom Tchakala
_mview_agences_etablissements_agences.fid--5eb27099_1a070dc3cf9_cae,Centrale,Tchaoudjo,Tchaoudjo 1,Sokodè (Komah),Barriere,Agence Togocom Sokode,"Agence Togocom Sokode, Barriere, BP333","{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi}",2007,{Utilise},Agence Togocom,"{WCs,Douches}",Togocom,Togocom.csv,,,1.1364225484392025,8.995775168282453,CENTRALE,TCHAOUDJO1,Agence Togocom Sokode
_mview_agences_etablissements_agences.fid--5eb27099_1a070dc3cf9_caf,Centrale,Tchaoudjo,Tchaoudjo 1,Sokodè (Komah),Komah ,Agence Togocom Franchise Koma,"Agence Togocom Franchise Koma, Komah ","{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi}",2019,{Utilise},Agence Togocom,"{WCs,Douches}",Togocom,Togocom.csv,,,1.149767464182392,8.969711814416957,CENTRALE,TCHAOUDJO1,Agence Togocom Franchise Koma
_mview_agences_etablissements_agences.fid--5eb27099_1a070dc3cf9_cb0,Centrale,Tchamba,Tchamba 1,Tchamba,Iyiwa,Agence Togocom Tchamba,"Agence Togocom Tchamba, Iyiwa, Quartier Atchanve, place de la réconciliation,BP333 Lomé ","{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi}",2013,{Utilise},Agence Togocom,"{WCs,Latrines a eau}",Togocom,Togocom.csv,,,1.4154333333333333,9.021938333333333,CENTRALE,TCHAMBA1,Agence Togocom Tchamba
_mview_agences_etablissements_agences.fid--5eb27099_1a070dc3cf9_cb1,Centrale,Tchamba,Tchamba 3,Kaboli,Kaboli,Franchise Togocom Kaboli,"Franchise Togocom Kaboli, Kaboli","{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi}",2019,{Utilise},Agence Togocom,Nsp,Togocom,Togocom.csv,,,1.5930066666666667,8.746319999999999,CENTRALE,TCHAMBA3,Franchise Togocom Kaboli
_mview_agences_etablissements_agences.fid--5eb27099_1a070dc3cf9_cb2,Centrale,Sotouboua,Sotouboua 1,Sotouboua,Sotouboua,Agence Togocom Sotouboua,"Agence Togocom Sotouboua, Sotouboua, ","{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi,Dimanche}",2012,{Utilise},Agence Togocom,Nsp,Togocom,Togocom.csv,,,0.9748136443222274,8.56147247694421,CENTRALE,SOTOUBOUA1,Agence Togocom Sotouboua
_mview_agences_etablissements_agences.fid--5eb27099_1a070dc3cf9_cb3,Centrale,Blitta,Blitta 1,Blitta-Village,Blitta Village,Agence Togocom Blitta,"Agence Togocom Blitta, Blitta Village","{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi}",2018,{Utilise},Agence Togocom,"{Latrines a eau,Douches}",Togocom,Togocom.csv,,,1.0102778708306066,8.3431775078664,CENTRALE,BLITTA1,Agence Togocom Blitta
_mview_agences_etablissements_agences.fid--5eb27099_1a070dc3cf9_cb4,Maritime,Golfe,Golfe 6,Baguida,Baguida,Agence Togocom Baguida,"Agence Togocom Baguida, Baguida","{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi}",2001,{Utilise},Agence Togocom,{WCs},Togocom,Togocom.csv,,,1.3425133333333332,6.168715,MARITIME,GOLFE6,Agence Togocom Baguida
_mview_agences_etablissements_agences.fid--5eb27099_1a070dc3cf9_cb5,Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,Agoe Leader Price,Agence Togocom Agoe,"Agence Togocom Agoe, Agoe Leader Price","{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi}",Nsp,{Utilise},Agence Togocom,{Latrines a eau},Togocom,Togocom.csv,,,1.210900071561107,6.231077994677203,MARITIME,AGOENYIVE1,Agence Togocom Agoe
_mview_agences_etablissements_agences.fid--5eb27099_1a070dc3cf9_cb6,Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,Agoe Assiyeye,Franchise Togocom Agoe Assiyeye,"Franchise Togocom Agoe Assiyeye, Agoe Assiyeye, LIBRAIRIE BON PASTEUR","{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi}",Nsp,{Utilise},Agence Togocom,{WCs},Togocom,Togocom.csv,,,1.1990666082427899,6.230627236213058,MARITIME,AGOENYIVE1,Franchise Togocom Agoe Assiyeye
_mview_agences_etablissements_agences.fid--5eb27099_1a070dc3cf9_cb7,Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,Agoe Nyiveme,Franchise Togocom Agoe Nyiveme,"Franchise Togocom Agoe Nyiveme, Agoe Nyiveme","{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi}",2018,{Utilise},Agence Togocom,"{WCs,Douches}",Togocom,Togocom.csv,,,1.2061866204763845,6.2209900074794575,MARITIME,AGOENYIVE1,Franchise Togocom Agoe Nyiveme
_mview_agences_etablissements_agences.fid--5eb27099_1a070dc3cf9_cb8,Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,Agoe Plateau,Franchise Togocom Agoe Plateau,"Franchise Togocom Agoe Plateau, Agoe Plateau","{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi}",Nsp,Nsp,Agence Togocom,Nsp,Togocom,Togocom.csv,,,1.1871283333333333,6.21647,MARITIME,AGOENYIVE1,Franchise Togocom Agoe Plateau
_mview_agences_etablissements_agences.fid--5eb27099_1a070dc3cf9_cb9,Maritime,Agoè-Nyivé,Agoè-Nyivé 3,Vakpossito,Elavagno Kleve,Agence Togocom Elavagno Kleve,"Agence Togocom Elavagno Kleve, Elavagno Kleve",Néant,Nsp,Nsp,Agence Togocom,Nsp,Togocom,Togocom.csv,,,1.1666036,6.2111736,MARITIME,AGOENYIVE3,Agence Togocom Elavagno Kleve
_mview_agences_etablissements_agences.fid--5eb27099_1a070dc3cf9_cba,Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,Anokui,Franchise Togocom Agoe Anokui,"Franchise Togocom Agoe Anokui, Anokui","{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi}",Nsp,{Utilise},Agence Togocom,"{WCs,Douches}",Togocom,Togocom.csv,,,1.1871983333333334,6.242343333333334,MARITIME,AGOENYIVE1,Franchise Togocom Agoe Anokui
_mview_agences_etablissements_agences.fid--5eb27099_1a070dc3cf9_cbb,Maritime,Agoè-Nyivé,Agoè-Nyivé 5,Sanguera,Zossime,Agence Togocom Zossime,"Agence Togocom Zossime, Zossime","{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi}",2017,{Utilise},Agence Togocom,{WCs},Togocom,Togocom.csv,,,1.149106424593853,6.233276083750482,MARITIME,AGOENYIVE5,Agence Togocom Zossime
_mview_agences_etablissements_agences.fid--5eb27099_1a070dc3cf9_cbc,Maritime,Agoè-Nyivé,Agoè-Nyivé 4,Togblekope,Agoe Zongo,Franchise Togocom Togblekope,"Franchise Togocom Togblekope, Agoe Zongo","{Mardi,Lundi,Mercredi,jeudi,Vendredi,Samedi}",2010,{Utilise},Agence Togocom,Nsp,Togocom,Togocom.csv,,,1.2080261674107036,6.2575874100528965,MARITIME,AGOENYIVE4,Franchise Togocom Togblekope
_mview_agences_etablissements_agences.fid--5eb27099_1a070dc3cf9_cbd,Maritime,Agoè-Nyivé,Agoè-Nyivé 6,Adétikopé,Adeticope Centre,Franchise Togocom Adeticope,"Franchise Togocom Adeticope, Adeticope Centre","{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi}",2018,{Utilise},Agence Togocom,{WCs},Togocom,Togocom.csv,,,1.2177537159215872,6.3173511047052155,MARITIME,AGOENYIVE6,Franchise Togocom Adeticope
_mview_agences_etablissements_agences.fid--5eb27099_1a070dc3cf9_cbe,Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,Logope ,Franchise Togocom Bewise,"Franchise Togocom Bewise, Logope , 07BP14544","{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi}",2019,{Utilise},Agence Togocom,{WCs},Togocom,Togocom.csv,,,1.1685836153911537,6.241372703033745,MARITIME,AGOENYIVE1,Franchise Togocom Bewise
_mview_agences_etablissements_agences.fid--5eb27099_1a070dc3cf9_cbf,Maritime,Agoè-Nyivé,Agoè-Nyivé 2,Légbassito,Legbassito,Franchise Togocom Legbassito,"Franchise Togocom Legbassito, Legbassito","{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi}",2018,{Utilise},Agence Togocom,{WCs},Togocom,Togocom.csv,,,1.1549966666666667,6.266943333333334,MARITIME,AGOENYIVE2,Franchise Togocom Legbassito
_mview_agences_etablissements_agences.fid--5eb27099_1a070dc3cf9_cc0,Maritime,Golfe,Golfe 5,Aflao-Gakli,Adidogome,Agence Togocom Adigome,"Agence Togocom Adigome, Adidogome","{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi}",Nsp,{Utilise},Agence Togocom,{WCs},Togocom,Togocom.csv,,,1.17849303184076,6.176719403333803,MARITIME,GOLFE5,Agence Togocom Adigome
_mview_agences_etablissements_agences.fid--5eb27099_1a070dc3cf9_cc1,Maritime,Golfe,Golfe 7,Aflao-Sagbado,Sagbado,Boutique Togocom Sagbado,"Boutique Togocom Sagbado, Sagbado","{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi,Dimanche}",2015,{Utilise},Agence Togocom,{WCs},Togocom,Togocom.csv,,,1.1398874950724767,6.193598287324705,MARITIME,GOLFE7,Boutique Togocom Sagbado
_mview_agences_etablissements_agences.fid--5eb27099_1a070dc3cf9_cc2,Maritime,Golfe,Golfe 5,Aflao-Gakli,Adidogome Madiba,Agence Togocom Madiba,"Agence Togocom Madiba, Adidogome Madiba, 31BP13 Lomé","{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi}",2019,{Utilise},Agence Togocom,{WCs},Togocom,Togocom.csv,,,1.1496116666666665,6.19941,MARITIME,GOLFE5,Agence Togocom Madiba
_mview_agences_etablissements_agences.fid--5eb27099_1a070dc3cf9_cc3,Maritime,Golfe,Golfe 5,Aflao-Gakli,Totsi,Agence Togocom Totsi,"Agence Togocom Totsi, Totsi, BP333","{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi}",2009,{Utilise},Agence Togocom,"{WCs,Douches}",Togocom,Togocom.csv,,,1.19183,6.190435,MARITIME,GOLFE5,Agence Togocom Totsi
_mview_agences_etablissements_agences.fid--5eb27099_1a070dc3cf9_cc4,Maritime,Golfe,Golfe 5,Aflao-Gakli,Aflao Gakli ,Agence Togocom Aflao Gakli,"Agence Togocom Aflao Gakll, Aflao Gakli , PB 330","{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi}",2019,{Utilise},Agence Togocom,"{WCs,Latrines a eau}",Togocom,Togocom.csv,,,1.1997529975220893,6.16972778352689,MARITIME,GOLFE5,Agence Togocom Aflao Gakli
_mview_agences_etablissements_agences.fid--5eb27099_1a070dc3cf9_cc5,Maritime,Golfe,Golfe 3,Bè-Ouest,Nukafu,Agence Togocom Nukafu,"Agence Togocom Nukafu, Nukafu","{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi}",Nsp ,{Utilise},Agence Togocom,"{WCs,Douches}",Togocom,Togocom.csv,,,1.2344596,6.1644454,MARITIME,GOLFE3,Agence Togocom Nukafu
_mview_agences_etablissements_agences.fid--5eb27099_1a070dc3cf9_cc6,Maritime,Golfe,Golfe 4,Amoutivé,Nyekonakpoe,Agence Togocom Place de L'Indépendance,"Agence Togocom Place de L'Indépendance, Nyekonakpoe","{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi}",2013,{Utilise},Agence Togocom,Nsp,Togocom,Togocom.csv,,,1.2146216666666667,6.129416666666667,MARITIME,GOLFE4,Agence Togocom Place de L'Indépendance
_mview_agences_etablissements_agences.fid--5eb27099_1a070dc3cf9_cc7,Maritime,Agoè-Nyivé,Agoè-Nyivé 5,Sanguera,Sanguera,Franchise Togocom Sanguera,"Franchise Togocom Sanguera, Sanguera","{Lundi,Mardi,Mercredi,jeudi,Samedi}",2021,{Utilise},Agence Togocom,"{WCs,Latrines a eau,autre}",Togocom,Togocom.csv,,,1.1107266666666669,6.2320899999999995,MARITIME,AGOENYIVE5,Franchise Togocom Sanguera
_mview_agences_etablissements_agences.fid--5eb27099_1a070dc3cf9_cc8,Maritime,Golfe,Golfe 2,Bè-Centre,Hedzranawoe,Agence Togocom Hedzranawoe,"Agence Togocom Hedzranawoe, Hedzranawoe","{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi}",2019,{Utilise},Agence Togocom,"{WCs,Douches}",Togocom,Togocom.csv,,,1.2401200000000001,6.1791599999999995,MARITIME,GOLFE2,Agence Togocom Hedzranawoe
_mview_agences_etablissements_agences.fid--5eb27099_1a070dc3cf9_cc9,Maritime,Golfe,Golfe 2,Bè-Centre,Aéroport ,Agence Togocom Aéroport,"Agence Togocom Aéroport, Aéroport ","{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi}",Nsp ,Nsp,Agence Togocom,Nsp,Togocom,Togocom.csv,,,1.253233822136575,6.170704783267905,MARITIME,GOLFE2,Agence Togocom Aéroport
_mview_agences_etablissements_agences.fid--5eb27099_1a070dc3cf9_cca,Maritime,Golfe,Golfe 1,Bè-Est,Ahadji Kpota,Agence Togocom Ahadji Kpota,"Agence Togocom Ahadji Kpota, Ahadji Kpota","{Mardi,Lundi,Mercredi,jeudi,Vendredi,Samedi}",2020,{Utilise},Agence Togocom,"{WCs,Douches}",Togocom,Togocom.csv,,,1.2843859759132503,6.161972925390809,MARITIME,GOLFE1,Agence Togocom Ahadji Kpota
